minute,gpu_util,cpu_util,mem_pressure,temperature,ecc_event,network_state,throughput_factor,recovery_loss_potential,latent_risk_score,warning_window,gpu_util_mean_15m,gpu_util_mean_60m,gpu_util_mean_180m,gpu_util_std_60m,temp_mean_15m,temp_mean_60m,temp_mean_180m,temp_std_60m,mem_mean_60m,throughput_mean_60m,ecc_count_15m,ecc_count_60m,ecc_count_180m,degraded_mins_60m,severe_mins_180m,temp_delta_60m,gpu_delta_30m,mins_above_90_gpu_180m,mins_above_85_temp_180m
0,48.73,67.54,66.6,62.73,0,1.0,48.73,0,0.0002,0,48.73,48.73,48.73,0.0,62.73,62.73,62.73,0.0,66.6,48.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,65.4,21.03,78.5,64.76,0,1.0,65.4,1,0.0002,0,57.065,57.065,57.065,11.787470042379756,63.745000000000005,63.745000000000005,63.745000000000005,1.4354267658086948,72.55,57.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,45.21,46.24,51.6,47.52,0,1.0,45.21,2,0.0002,0,53.11333333333334,53.11333333333334,53.11333333333334,10.785139467495698,58.336666666666666,58.336666666666666,58.336666666666666,9.422336935884504,65.56666666666666,53.11333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,69.26,29.98,55.71,75.42,0,1.0,69.26,3,0.0002,0,57.15,57.15,57.15,11.946751301783543,62.6075,62.6075,62.6075,11.495521954222001,63.1025,57.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,33.25,67.44,78.28,51.04,0,1.0,33.25,4,0.0002,0,52.370000000000005,52.370000000000005,52.370000000000005,14.87567309401494,60.294000000000004,60.294000000000004,60.294000000000004,11.219254877218898,66.138,52.370000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,54.76,21.72,75.47,59.7,0,1.0,54.76,5,0.0002,0,52.76833333333334,52.76833333333334,52.76833333333334,13.340934624930396,60.195,60.195,60.195,10.037736298588444,67.69333333333333,52.76833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,57.34,29.24,78.48,76.94,0,1.0,57.34,6,0.0002,0,53.42142857142857,53.42142857142857,53.42142857142857,12.300522249849706,62.58714285714286,62.58714285714286,62.58714285714286,11.136421798593588,69.23428571428572,53.42142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,46.27,39.43,43.57,65.02,0,1.0,46.27,7,0.0002,0,52.5275,52.5275,52.5275,11.665377037565973,62.89125,62.89125,62.89125,10.346139980688449,66.02625,52.5275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,37.05,60.11,33.73,50.68,0,1.0,37.05,8,0.0002,0,50.80777777777777,50.80777777777777,50.80777777777777,12.07012404428573,61.53444444444445,61.53444444444445,61.53444444444445,10.499075091539147,62.43777777777778,50.80777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,66.45,58.56,33.7,81.61,0,1.0,66.45,9,0.0002,0,52.372,52.372,52.372,12.408394828591742,63.54200000000001,63.54200000000001,63.54200000000001,11.759486761287198,59.564,52.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,46.54,23.18,45.55,73.13,0,1.0,46.54,10,0.0002,0,51.841818181818184,51.841818181818184,51.841818181818184,11.902245853772154,64.41363636363636,64.41363636363636,64.41363636363636,11.524505432101865,58.290000000000006,51.841818181818184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,65.66,58.04,58.06,92.42,0,1.0,65.66,11,0.0035270956337204,0,52.99333333333333,52.99333333333333,52.99333333333333,12.028998547701555,66.7475,66.7475,66.7475,13.641966083976442,58.270833333333336,52.99333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,35.39,21.57,61.82,69.92,0,1.0,35.39,12,0.0035270956337204,0,51.639230769230764,51.639230769230764,51.639230769230764,12.509015056842316,66.99153846153845,66.99153846153845,66.99153846153845,13.090792467833921,58.54384615384616,51.639230769230764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,41.44,23.85,44.49,59.3,0,1.0,41.44,13,0.0035270956337204,0,50.910714285714285,50.910714285714285,50.910714285714285,12.323521889388674,66.44214285714285,66.44214285714285,66.44214285714285,12.744109455908474,57.54,50.910714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,73.57,60.18,39.33,96.08,0,1.0,73.57,14,0.0078667714464301,0,52.42133333333333,52.42133333333333,52.42133333333333,13.238237834106961,68.41799999999999,68.41799999999999,68.41799999999999,14.469679234276654,56.326,52.42133333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15,95.11,60.9,91.26,86.88,0,1.0,95.11,15,0.0157813199659927,0,55.51333333333333,55.089375,55.089375,16.657211238679782,70.028,69.571875,69.571875,14.721288991910091,58.509375,55.089375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
16,46.16,45.94,65.15,63.02,0,1.0,46.16,16,0.0157813199659927,0,54.23066666666667,54.56411764705882,54.56411764705882,16.273029473189503,69.912,69.1864705882353,69.1864705882353,14.342130220602021,58.9,54.56411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
17,60.48,45.13,32.57,43.84,0,1.0,60.48,17,0.0157813199659927,0,55.24866666666666,54.89277777777777,54.89277777777777,15.848616865075254,69.66666666666667,67.77833333333334,67.77833333333334,15.142265449435774,57.43722222222223,54.89277777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
18,54.47,69.28,42.1,57.32,0,1.0,54.47,18,0.0157813199659927,0,54.26266666666666,54.87052631578947,54.87052631578947,15.402392481431152,68.46,67.2278947368421,67.2278947368421,14.909951031646006,56.63,54.87052631578947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
19,61.68,46.79,34.51,81.18,0,1.0,61.68,19,0.0157813199659927,0,56.157999999999994,55.211,55.211,15.068714505295578,70.46933333333332,67.9255,67.9255,14.843832132182747,55.524,55.211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
